Uniprot_protein,Ensembl_gene,Ensembl_transcript,Ensembl_protein,Gene,Chr,Protein_length
P51816,ENSG00000155966.14,ENST00000370460.7,ENSP00000359489.2,AFF2,X,1311
Q9NP73,ENSG00000101901.12,ENST00000394780.8,ENSP00000378260.3,ALG13,X,1137
P35318,ENSG00000148926.10,ENST00000525063.2,ENSP00000435124.1,ADM,11,185
Q8N556,ENSG00000196526.10,ENST00000358461.6,ENSP00000351245.2,AFAP1,4,730
Q9UKQ2,ENSG00000042980.13,ENST00000265769.9,ENSP00000265769.4,ADAM28,8,775
Q08462,ENSG00000078295.17,ENST00000338316.9,ENSP00000342952.4,ADCY2,5,1091
P33121,ENSG00000151726.14,ENST00000504342.5,ENSP00000425006.1,ACSL1,4,698
Q6UXC1,ENSG00000177943.14,ENST00000445819.5,ENSP00000411339.1,MAMDC4,9,1216
Q9Y672,ENSG00000088035.18,ENST00000263440.6,ENSP00000263440.5,ALG6,1,507
O75078,ENSG00000073670.14,ENST00000200557.11,ENSP00000200557.6,ADAM11,17,769
P61204,ENSG00000134287.10,ENST00000541959.5,ENSP00000438510.1,ARF3,12,181
Q96Q83,ENSG00000166199.13,ENST00000302708.9,ENSP00000302232.4,ALKBH3,11,286
Q96PE2,ENSG00000110237.5,ENST00000263674.4,ENSP00000263674.3,ARHGEF17,11,2063
Q8NBQ7,ENSG00000178301.4,ENST00000313578.4,ENSP00000318770.3,AQP11,11,271
Q63HQ0,ENSG00000138660.12,ENST00000274000.10,ENSP00000274000.5,AP1AR,4,302
O60641,ENSG00000065609.14,ENST00000521743.5,ENSP00000428215.1,SNAP91,6,907
Q6NXT1,ENSG00000100124.15,ENST00000215941.9,ENSP00000215941.4,ANKRD54,22,300
Q15327,ENSG00000148677.6,ENST00000371697.3,ENSP00000360762.3,ANKRD1,10,319
Q9UHI8,ENSG00000154734.15,ENST00000284984.8,ENSP00000284984.2,ADAMTS1,21,967
Q96NH3,ENSG00000146350.14,ENST00000398212.7,ENSP00000381270.2,TBC1D32,6,1257
Q96KE9,ENSG00000184887.13,ENST00000536364.5,ENSP00000443091.1,BTBD6,14,485
P49069,ENSG00000164615.5,ENST00000297156.4,ENSP00000297156.2,CAMLG,5,296
Q9NYX4,ENSG00000130643.9,ENST00000252939.9,ENSP00000252939.4,CALY,10,217
Q8TD86,ENSG00000169885.10,ENST00000307786.8,ENSP00000304643.3,CALML6,1,181
Q5VU97,ENSG00000158966.16,ENST00000651257.2,ENSP00000498498.1,CACHD1,1,1274
Q9UI42,ENSG00000128510.12,ENST00000222482.10,ENSP00000222482.4,CPA4,7,421
Q96BS2,ENSG00000088992.18,ENST00000335209.12,ENSP00000334785.7,TESC,12,214
Q9P2E5,ENSG00000033100.16,ENST00000035307.6,ENSP00000035307.2,CHPF2,7,772
P25774,ENSG00000163131.11,ENST00000368985.8,ENSP00000357981.3,CTSS,1,331
Q9H2X0,ENSG00000090539.15,ENST00000204604.5,ENSP00000204604.1,CHRD,3,955
Q8N8E3,ENSG00000154240.17,ENST00000392769.6,ENSP00000376522.2,CEP112,17,955
Q96JM3,ENSG00000198824.7,ENST00000643483.1,ENSP00000496699.1,CHAMP1,13,812
Q5VT06,ENSG00000135837.16,ENST00000367607.8,ENSP00000356579.3,CEP350,1,3117
Q5BN46,ENSG00000160345.13,ENST00000429260.7,ENSP00000395281.2,C9orf116,9,136
A8MTB9,ENSG00000213822.6,ENST00000396477.4,ENSP00000379738.4,CEACAM18,19,384
Q5T5N4,ENSG00000112539.15,ENST00000230301.9,ENSP00000230301.8,C6orf118,6,469
Q5MAI5,ENSG00000205111.8,ENST00000395035.3,ENSP00000378476.3,CDKL4,2,379
Q99467,ENSG00000134061.5,ENST00000256447.5,ENSP00000256447.4,CD180,5,661
Q9Y5K6,ENSG00000198087.7,ENST00000359314.5,ENSP00000352264.5,CD2AP,6,639
P51959,ENSG00000113328.19,ENST00000393929.5,ENSP00000377506.1,CCNG1,5,295
Q6P656,ENSG00000156206.14,ENST00000286732.5,ENSP00000286732.4,CFAP161,15,301
Q8NHQ1,ENSG00000114107.9,ENST00000484888.5,ENSP00000419231.1,CEP70,3,597
Q8TCT0,ENSG00000100422.14,ENST00000216264.13,ENSP00000216264.8,CERK,22,537
Q8IUL8,ENSG00000160161.9,ENST00000291495.5,ENSP00000291495.3,CILP2,19,1156
Q5JTJ3,ENSG00000168275.15,ENST00000366613.1,ENSP00000355572.1,COA6,1,125
O75175,ENSG00000277114.4,ENST00000618405.4,ENSP00000481924.1,CNOT3,CHR_HSCHR19LRC_COX1_CTG3_1,753
Q9NPC3,ENSG00000100814.18,ENST00000353689.8,ENSP00000337396.4,CCNB1IP1,14,277
Q8N5I9,ENSG00000151131.11,ENST00000552951.7,ENSP00000447057.1,C12orf45,12,185
Q9H3J6,ENSG00000130921.8,ENST00000366329.6,ENSP00000390647.1,C12orf65,12,166
Q9Y271,ENSG00000173198.6,ENST00000614798.1,ENSP00000478492.1,CYSLTR1,X,337
Q8N1N0,ENSG00000152672.8,ENST00000272367.7,ENSP00000272367.2,CLEC4F,2,589
Q6UUV9,ENSG00000105662.16,ENST00000321949.13,ENSP00000323332.7,CRTC1,19,634
Q96A22,ENSG00000149300.10,ENST00000278601.6,ENSP00000278601.5,C11orf52,11,123
P34998,ENSG00000276191.4,ENST00000616274.4,ENSP00000480396.1,CRHR1,CHR_HSCHR17_2_CTG5,444
P28325,ENSG00000170367.5,ENST00000304710.5,ENSP00000307132.4,CST5,20,142
Q08477,ENSG00000186529.16,ENST00000221307.13,ENSP00000221307.6,CYP4F3,19,520
A4D2H0,ENSG00000285172.1,ENST00000642487.1,ENSP00000493562.1,CTAGE15,CHR_HG708_PATCH,777
Q07092,ENSG00000084636.18,ENST00000373672.8,ENSP00000362776.3,COL16A1,1,1604
A0A1B0GV90,ENSG00000283324.1,ENST00000636087.1,ENSP00000490418.1,CTXND2,1,55
P81534,ENSG00000284978.2,ENST00000646344.2,ENSP00000493616.1,DEFB103A,CHR_HG76_PATCH,67
Q2VPK5,ENSG00000174177.13,ENST00000453996.7,ENSP00000388320.2,CTU2,16,515
P24310,ENSG00000161281.11,ENST00000292907.8,ENSP00000292907.3,COX7A1,19,79
P16410,ENSG00000163599.17,ENST00000648405.2,ENSP00000497102.1,CTLA4,2,223
Q9Y6H8,ENSG00000121743.4,ENST00000241125.4,ENSP00000241125.3,GJA3,13,435
Q5SY80,ENSG00000179397.18,ENST00000366534.9,ENSP00000355492.4,CATSPERE,1,951
A8MYA2,ENSG00000215113.6,ENST00000542739.2,ENSP00000482270.1,CXorf49B,X,514
Q12996,ENSG00000176102.13,ENST00000323959.9,ENSP00000315791.4,CSTF3,11,717
Q7Z7B8,ENSG00000185982.7,ENST00000334391.5,ENSP00000335382.4,DEFB128,20,93
Q9HBH1,ENSG00000258429.2,ENST00000288022.2,ENSP00000288022.1,PDF,16,243
Q8WTU0,ENSG00000170967.5,ENST00000302259.5,ENSP00000302805.3,DDI1,11,396
Q9BQT9,ENSG00000288427.1,ENST00000672495.1,ENSP00000500510.1,CLSTN3,CHR_HG1398_PATCH,956
Q15038,ENSG00000183283.16,ENST00000412716.8,ENSP00000394699.2,DAZAP2,12,168
P31947,ENSG00000175793.12,ENST00000339276.6,ENSP00000340989.4,SFN,1,248
Q13362,ENSG00000078304.19,ENST00000334743.9,ENSP00000333905.4,PPP2R5C,14,524
P50406,ENSG00000158748.4,ENST00000289753.2,ENSP00000289753.1,HTR6,1,440
Q96I13,ENSG00000127220.6,ENST00000247706.4,ENSP00000247706.2,ABHD8,19,439
O60239,ENSG00000131370.16,ENST00000383791.8,ENSP00000373301.3,SH3BP5,3,455
P00519,ENSG00000097007.19,ENST00000318560.6,ENSP00000323315.5,ABL1,9,1130
P33897,ENSG00000101986.12,ENST00000218104.6,ENSP00000218104.3,ABCD1,X,745
P09972,ENSG00000109107.14,ENST00000226253.9,ENSP00000226253.4,ALDOC,17,364
P49902,ENSG00000076685.18,ENST00000343289.9,ENSP00000339479.5,NT5C2,10,561
Q9NVV5,ENSG00000146416.19,ENST00000275235.8,ENSP00000275235.4,AIG1,6,245
Q9BZC7,ENSG00000107331.17,ENST00000371605.7,ENSP00000360666.3,ABCA2,9,2435
Q7Z591,ENSG00000106948.16,ENST00000307564.8,ENSP00000303769.4,AKNA,9,1439
Q9Y2J4,ENSG00000114019.14,ENST00000422605.6,ENSP00000409999.2,AMOTL2,3,779
Q9UKB5,ENSG00000196581.11,ENST00000378191.5,ENSP00000367433.3,AJAP1,1,411
P08319,ENSG00000198099.8,ENST00000265512.11,ENSP00000265512.7,ADH4,4,380
Q68CK6,ENSG00000066813.14,ENST00000414188.6,ENSP00000390378.3,ACSM2B,16,577
Q9BYV1,ENSG00000113492.14,ENST00000231420.11,ENSP00000231420.6,AGXT2,5,514
Q8TCU4,ENSG00000116127.18,ENST00000613296.5,ENSP00000482968.1,ALMS1,2,4168
Q01433,ENSG00000116337.19,ENST00000667949.1,ENSP00000499465.1,AMPD2,1,879
Q92624,ENSG00000062725.10,ENST00000083182.8,ENSP00000083182.3,APPBP2,17,585
O15084,ENSG00000206560.11,ENST00000412318.5,ENSP00000397341.1,ANKRD28,3,1053
P27216,ENSG00000104537.17,ENST00000419625.6,ENSP00000390809.1,ANXA13,8,316
Q02410,ENSG00000107282.8,ENST00000265381.7,ENSP00000265381.3,APBA1,9,837
O15265,ENSG00000163635.18,ENST00000487717.5,ENSP00000420234.1,ATXN7,3,892
Q9ULK2,ENSG00000146776.14,ENST00000419735.7,ENSP00000410759.3,ATXN7L1,7,861
Q86Z23,ENSG00000186897.5,ENST00000334221.5,ENSP00000335285.3,C1QL4,12,238
P35670,ENSG00000123191.15,ENST00000242839.9,ENSP00000242839.4,ATP7B,13,1465
P0DP24,ENSG00000143933.18,ENST00000272298.12,ENSP00000272298.7,CALM2,2,149
Q86XJ0,ENSG00000183128.7,ENST00000369783.4,ENSP00000358798.4,CALHM3,10,344
P27797,ENSG00000179218.13,ENST00000316448.9,ENSP00000320866.4,CALR,19,417
Q8N187,ENSG00000138380.18,ENST00000438828.4,ENSP00000414644.1,CARF,2,725
P43235,ENSG00000143387.13,ENST00000271651.8,ENSP00000271651.3,CTSK,1,329
Q16543,ENSG00000105401.9,ENST00000222005.7,ENSP00000222005.1,CDC37,19,378
P14384,ENSG00000135678.12,ENST00000338356.7,ENSP00000339157.3,CPM,12,443
Q96J87,ENSG00000140488.16,ENST00000287202.10,ENSP00000287202.5,CELF6,15,481
O15519,ENSG00000003402.20,ENST00000423241.6,ENSP00000399420.2,CFLAR,2,480
Q6ZU80,ENSG00000100629.17,ENST00000281129.7,ENSP00000281129.3,CEP128,14,1094
O14757,ENSG00000149554.13,ENST00000524737.6,ENSP00000432890.1,CHEK1,11,476
Q5JTZ5,ENSG00000188959.9,ENST00000400613.4,ENSP00000383456.4,C9orf152,9,239
Q96H22,ENSG00000166451.13,ENST00000305850.9,ENSP00000305608.5,CENPN,16,339
Q96N11,ENSG00000146576.13,ENST00000344417.10,ENSP00000340220.5,C7orf26,7,449
Q9UJX2,ENSG00000094880.11,ENST00000394886.7,ENSP00000378350.2,CDC23,5,597
P41208,ENSG00000147400.10,ENST00000370277.5,ENSP00000359300.3,CETN2,X,172
Q9Y4C5,ENSG00000175040.6,ENST00000309575.5,ENSP00000307911.3,CHST2,3,530
Q9Y6A4,ENSG00000070761.8,ENST00000262498.8,ENSP00000262498.3,CFAP20,16,193
Q9C0A0,ENSG00000152910.19,ENST00000611870.5,ENSP00000479811.1,CNTNAP4,16,1308
Q7Z4T9,ENSG00000183833.16,ENST00000273390.9,ENSP00000273390.5,MAATS1,3,767
Q9UQ52,ENSG00000134115.13,ENST00000350110.2,ENSP00000341882.2,CNTN6,3,1028
Q96LI5,ENSG00000138767.13,ENST00000504123.6,ENSP00000424896.1,CNOT6L,4,555
Q9P003,ENSG00000143771.12,ENST00000465271.6,ENSP00000420443.1,CNIH4,1,139
P56750,ENSG00000156282.5,ENST00000286808.5,ENSP00000286808.3,CLDN17,21,224
Q8NCF0,ENSG00000157335.20,ENST00000618957.4,ENSP00000477846.1,CLEC18C,16,446
Q96DG6,ENSG00000164237.9,ENST00000296658.4,ENSP00000296658.3,CMBL,5,245
Q8NCR9,ENSG00000180745.5,ENST00000368671.4,ENSP00000357660.3,CLRN3,10,226
Q96F05,ENSG00000171067.11,ENST00000304271.11,ENSP00000307264.6,C11orf24,11,449
Q9H6B4,ENSG00000166250.12,ENST00000448775.4,ENSP00000405577.2,CLMP,11,373
Q92478,ENSG00000110852.4,ENST00000228438.2,ENSP00000228438.2,CLEC2B,12,149
Q9UFG5,ENSG00000119559.16,ENST00000592872.5,ENSP00000467861.1,C19orf25,19,118
O15516,ENSG00000134852.15,ENST00000513440.6,ENSP00000426983.1,CLOCK,4,846
P02489,ENSG00000160202.7,ENST00000291554.6,ENSP00000291554.2,CRYAA,21,173
P15954,ENSG00000127184.13,ENST00000509578.1,ENSP00000425759.1,COX7C,5,63
O95196,ENSG00000114646.10,ENST00000383738.6,ENSP00000373244.2,CSPG5,3,566
Q9Y5P2,ENSG00000268916.6,ENST00000599845.3,ENSP00000491011.1,CSAG3,X,127
Q9Y600,ENSG00000139631.18,ENST00000453446.6,ENSP00000410648.2,CSAD,12,493
Q49B96,ENSG00000240230.6,ENST00000344111.4,ENSP00000342015.3,COX19,7,90
Q6PUV4,ENSG00000145920.15,ENST00000515094.1,ENSP00000421825.1,CPLX2,5,134
O75177,ENSG00000184402.15,ENST00000331758.8,ENSP00000333012.3,SS18L1,20,396
P05181,ENSG00000130649.10,ENST00000252945.8,ENSP00000252945.3,CYP2E1,10,493
Q96JB2,ENSG00000136152.15,ENST00000349995.10,ENSP00000258654.8,COG3,13,828
P07315,ENSG00000285011.2,ENST00000646204.2,ENSP00000496418.1,CRYGC,CHR_HSCHR2_8_CTG7_2,174
P78358,ENSG00000184033.13,ENST00000328435.2,ENSP00000332602.2,CTAG1B,X,180
A8K830,ENSG00000214290.8,ENST00000614153.4,ENSP00000481028.2,COLCA2,11,154
Q9UBT7,ENSG00000119326.15,ENST00000325551.9,ENSP00000320434.4,CTNNAL1,9,734
Q5HYN5,ENSG00000268940.5,ENST00000594117.4,ENSP00000470185.2,CT45A1,X,189
O95452,ENSG00000121742.19,ENST00000644667.1,ENSP00000493621.1,GJB6,13,261
Q9P2B4,ENSG00000143079.15,ENST00000271277.11,ENSP00000271277.6,CTTNBP2NL,1,639
P25025,ENSG00000180871.8,ENST00000318507.7,ENSP00000319635.2,CXCR2,2,360
Q14155,ENSG00000102606.18,ENST00000375741.6,ENSP00000364893.2,ARHGEF7,13,803
Q9HCE9,ENSG00000074855.11,ENST00000159087.7,ENSP00000159087.4,ANO8,19,1232
Q5JPF3,ENSG00000174501.14,ENST00000456556.5,ENSP00000403302.1,ANKRD36C,2,1778
Q8NB46,ENSG00000139645.10,ENST00000267116.8,ENSP00000267116.7,ANKRD52,12,1076
Q75V66,ENSG00000171714.11,ENST00000324559.8,ENSP00000315371.8,ANO5,11,913
Q9UNK9,ENSG00000013523.10,ENST00000251089.7,ENSP00000251089.2,ANGEL1,14,670
Q9NQW6,ENSG00000011426.11,ENST00000265748.7,ENSP00000265748.2,ANLN,7,1124
P17342,ENSG00000113389.16,ENST00000265074.13,ENSP00000265074.8,NPR3,5,541
O94823,ENSG00000118322.14,ENST00000327245.10,ENSP00000313600.5,ATP10B,5,1461
O00189,ENSG00000221838.10,ENST00000421755.5,ENSP00000412185.1,AP4M1,7,453
Q5U4P2,ENSG00000174939.11,ENST00000566693.1,ENSP00000456801.1,ASPHD1,16,390
Q7Z6R9,ENSG00000008197.4,ENST00000008391.3,ENSP00000008391.3,TFAP2D,6,452
P07355,ENSG00000182718.16,ENST00000421017.6,ENSP00000411352.2,ANXA2,15,339
Q9UJX6,ENSG00000176248.9,ENST00000323927.3,ENSP00000314004.2,ANAPC2,9,822
Q8WXI3,ENSG00000146926.11,ENST00000420175.3,ENSP00000391137.2,ASB10,7,467
Q9P1U1,ENSG00000133627.18,ENST00000256001.13,ENSP00000256001.8,ACTR3B,7,418
P61158,ENSG00000115091.12,ENST00000263238.7,ENSP00000263238.2,ACTR3,2,418
L0R819,ENSG00000286053.1,ENST00000607829.5,ENSP00000475224.1,ASDURF,2,96
A6NEK1,ENSG00000205784.4,ENST00000381781.2,ENSP00000371200.2,ARRDC5,19,342
O15145,ENSG00000111229.16,ENST00000228825.12,ENSP00000228825.7,ARPC3,12,178
Q5TC12,ENSG00000123472.12,ENST00000574428.5,ENSP00000459167.2,ATPAF1,1,328
Q13873,ENSG00000204217.15,ENST00000374580.10,ENSP00000363708.4,BMPR2,2,1038
Q6UW01,ENSG00000139899.11,ENST00000267406.11,ENSP00000267406.6,CBLN3,14,205
Q6ZUS5,ENSG00000176714.9,ENST00000324364.3,ENSP00000339087.2,CCDC121,2,278
P10147,ENSG00000274221.2,ENST00000616221.2,ENSP00000483712.1,CCL3,CHR_HSCHR17_7_CTG4,92
P06881,ENSG00000110680.12,ENST00000361010.7,ENSP00000354286.3,CALCA,11,128
P41180,ENSG00000036828.16,ENST00000638421.1,ENSP00000492190.1,CASR,3,1078
Q9UEE9,ENSG00000153774.9,ENST00000283882.4,ENSP00000283882.3,CFDP1,16,299
Q8WYQ3,ENSG00000250479.8,ENST00000484558.2,ENSP00000418428.2,CHCHD10,22,142
Q8IWY9,ENSG00000140326.13,ENST00000356231.4,ENSP00000348564.3,CDAN1,15,1227
Q15078,ENSG00000176749.9,ENST00000313401.4,ENSP00000318486.3,CDK5R1,17,307
Q6UWT4,ENSG00000178776.5,ENST00000318315.5,ENSP00000315370.4,C5orf46,5,87
P41597,ENSG00000121807.5,ENST00000292301.4,ENSP00000292301.3,CCR2,3,374
Q9H2A9,ENSG00000124302.13,ENST00000434302.5,ENSP00000392604.1,CHST8,19,424
Q8N1V2,ENSG00000166596.15,ENST00000352665.10,ENSP00000339449.5,CFAP52,17,620
Q9NNX6,ENSG00000090659.18,ENST00000315599.12,ENSP00000315477.6,CD209,19,404
C9J302,ENSG00000237136.7,ENST00000438731.6,ENSP00000391404.1,C4orf51,4,202
Q9UQ88,ENSG00000008128.23,ENST00000378633.5,ENSP00000367900.1,CDK11A,1,783
Q8IV13,ENSG00000135083.15,ENST00000393977.7,ENSP00000377547.3,CCNJL,5,435
Q6EIG7,ENSG00000205846.4,ENST00000382073.4,ENSP00000371505.3,CLEC6A,12,209
Q9BXN2,ENSG00000172243.18,ENST00000304084.13,ENSP00000302569.8,CLEC7A,12,247
P26441,ENSG00000242689.3,ENST00000361987.6,ENSP00000355370.4,CNTF,11,200
H3BRN8,ENSG00000261652.3,ENST00000569691.2,ENSP00000456337.1,C15orf65,15,121
Q12860,ENSG00000018236.15,ENST00000347616.5,ENSP00000325660.3,CNTN1,12,1018
O95628,ENSG00000080802.18,ENST00000315544.6,ENSP00000326731.5,CNOT4,7,575
P20908,ENSG00000130635.16,ENST00000371817.8,ENSP00000360882.3,COL5A1,9,1838
O95484,ENSG00000213937.4,ENST00000445369.3,ENSP00000398017.2,CLDN9,16,217
Q96DZ9,ENSG00000166091.21,ENST00000339180.9,ENSP00000344819.4,CMTM5,14,223
Q13098,ENSG00000169727.12,ENST00000306823.10,ENSP00000302873.6,GPS1,17,491
Q96PZ7,ENSG00000183117.19,ENST00000635120.2,ENSP00000489225.1,CSMD1,8,3564
Q9UBL6,ENSG00000178773.15,ENST00000268720.9,ENSP00000268720.5,CPNE7,16,633
Q8IUH2,ENSG00000175874.10,ENST00000324768.6,ENSP00000315203.4,CREG2,2,290
Q9NZV1,ENSG00000150938.10,ENST00000280527.7,ENSP00000280527.2,CRIM1,2,1036
Q96LL3,ENSG00000167194.7,ENST00000300575.6,ENSP00000300575.2,C16orf92,16,132
Q9UGN4,ENSG00000167851.15,ENST00000360141.8,ENSP00000353259.3,CD300A,17,299
P23528,ENSG00000172757.13,ENST00000308162.10,ENSP00000309629.5,CFL1,11,166
Q5QGZ9,ENSG00000172322.14,ENST00000304361.9,ENSP00000302804.4,CLEC12A,12,265
Q96A83,ENSG00000160963.14,ENST00000313669.12,ENSP00000318234.8,COL26A1,7,441
Q9P000,ENSG00000110442.12,ENST00000263401.10,ENSP00000263401.5,COMMD9,11,198
Q16619,ENSG00000150281.6,ENST00000279804.2,ENSP00000279804.2,CTF1,16,201
O15194,ENSG00000144677.15,ENST00000273179.10,ENSP00000273179.5,CTDSPL,3,276
Q7Z388,ENSG00000156162.16,ENST00000414645.6,ENSP00000389630.2,DPY19L4,8,723
Q8NEC5,ENSG00000175294.6,ENST00000312106.6,ENSP00000309052.5,CATSPER1,11,780
Q86XQ3,ENSG00000152705.8,ENST00000282611.8,ENSP00000282611.6,CATSPER3,5,398
